"question","answer"
"Дайте определение понятию «группа выходного дня» в бакалавриате?","Это очно-заочная форма обучения с занятиями по выходным дням. Срок обычно 4 года 6 месяцев, но для «Бизнес-информатики» (игровая компьютерная индустрия) — 3 года 6 месяцев. Стоимость зависит от программы."
"Скажите, пожалуйста, сколько длится очное обучение в бакалавриате?","Обычно 4 года. Исключение: 44.03.05 «Педагогическое образование (с двумя профилями подготовки)» — 5 лет очно."
"Скажите, пожалуйста, есть ли специальности с очной стоимостью 80 000 рублей на базе 9 классов?","Да, две: «Конгрессно-выставочная деятельность» (43.02.16) и «Техническая эксплуатация и сопровождение ИС» (код 09.02.06 в таблице стоимости)."
"Существует ли возможность заочно учиться на программиста после 11 классов?","Да, 09.02.11 «Разработка и управление программным обеспечением». Срок – 3 года 4 месяца, стоимость заочного обучения с ДОТ – 50 000 рублей за семестр."
"Назовите стоимость обучения бакалавриат по «Экономике» (бизнес-аналитика, бухучет, финансовая аналитика) очно?","166 000 рублей за семестр на базе СОО и СПО."
"Скажите, пожалуйста, какая специальность имеет максимальный срок заочного обучения после 9 классов?","4 года 4 месяца. Это специальности: 44.02.01 «Дошкольное образование» и 09.02.11 «Разработка и управление программным обеспечением»."
"Скажите, пожалуйста, сколько учиться на дошкольное образование очно после 9 классов?","3 года 10 месяцев. Специальность 44.02.01 «Дошкольное образование», квалификация «Воспитатель детей дошкольного возраста в полилингвальной образовательной среде»."
"Скажите, пожалуйста, какие предметы сдаются при поступление после СПО на вступительных испытаниях?","Сдаются следующие предметы: русский язык, микроэкономика, основы автоматизации, основы маркетинга, основы обществознания, основы прикладной информатики, основы психологии, педагогика, риторика, теория государства и права, теория управления. "
"Какие сроки на дошкольное образование очно после 9 классов?","3 года 10 месяцев. Специальность 44.02.01 «Дошкольное образование», квалификация «Воспитатель детей дошкольного возраста в полилингвальной образовательной среде»."
"Существует ли возможность после колледжа поступить на бакалавриат с сокращённым сроком?","Да, если ваша квалификация по профессии/специальности соответствует направлению бакалавриата. Сроки: очно — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Скажите, пожалуйста, сколько учиться на бухгалтера очно после 9 классов?","2 года 10 месяцев. Специальность 38.02.01 «Экономика и бухгалтерский учет»."
"Дайте определение понятию «группа выходного дня» в бакалавриате?","Это очно-заочная форма обучения с занятиями по выходным дням. Срок обычно 4 года 6 месяцев, но для «Бизнес-информатики» (игровая компьютерная индустрия) — 3 года 6 месяцев. Стоимость зависит от программы."
"Дайте определение понятию «группа выходного дня» в бакалавриате?","Это очно-заочная форма обучения с занятиями по выходным дням. Срок обычно 4 года 6 месяцев, но для «Бизнес-информатики» (игровая компьютерная индустрия) — 3 года 6 месяцев. Стоимость зависит от программы."
"Скажите, пожалуйста, какие сроки обучения в специалитете очно?","5 лет (нормативный срок для всех программ)."
"Какие специальности на заочной форме имеют срок 3 года 4 месяца на базе 9 классов?","«Операционная деятельность в логистике», «Торговое дело», «Банковское дело», «Реклама», «Финансы», «Техническая эксплуатация и сопровождение информационных систем»."
"Скажите, пожалуйста, какие предметы сдаются при поступление после СПО на вступительных испытаниях?","Сдаются следующие предметы: русский язык, микроэкономика, основы автоматизации, основы маркетинга, основы обществознания, основы прикладной информатики, основы психологии, педагогика, риторика, теория государства и права, теория управления. "
"Есть ли специальность «Физическая культура» и Назовите стоимость обучения?","Да, 49.02.01. Очная форма: 90 000 руб. (9 кл.) / 100 000 руб. (11 кл.). Срок: 3 г.10 м / 2 г.10 м."
"Скажите, пожалуйста, какие специальности на заочной форме имеют срок 3 года 4 месяца после 9 классов?","«Операционная деятельность в логистике», «Торговое дело», «Банковское дело», «Реклама», «Финансы», «Техническая эксплуатация и сопровождение информационных систем»."
"Укажите цену заочное обучение (с ДОТ) за семестр?","По предоставленной таблице, заочная форма с ДОТ на базе и 9, и 11 классов стоит 50 000 рублей за семестр для указанных специальностей: Банковское дело, Дошкольное образование, Операционная деятельность в логистике, Разработка ПО, Реклама, Техническая эксплуатация ИС, Торговое дело, Финансы."
"Какова продолжительность обучения на дошкольное образование очно после 9 классов?","3 года 10 месяцев. Специальность 44.02.01 «Дошкольное образование», квалификация «Воспитатель детей дошкольного возраста в полилингвальной образовательной среде»."
"Назовите стоимость обучения бакалавриат по «Экономике» (бизнес-аналитика, бухучет, финансовая аналитика) очно?","166 000 рублей за семестр на базе СОО и СПО."
"Объясните, что означает специалитет?","Специалитет — традиционная для России ступень высшего образования. Срок: 5 лет (очная форма) или 6 лет (очно-заочная / заочная). Выдаётся диплом специалиста, после него можно поступать в магистратуру и аспирантуру."
"Скажите, пожалуйста, на какой вкладке можно найти расписание бакалавриата?","Расписание можно найти по ссылки https://www.muiv.ru/studentu/, найдя свой факультет."
"Разрешено ли заочно учиться на финансиста после 11 классов?","Да, специальность 38.02.06 «Финансы». Срок – 2 года 4 месяца."
